epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,400.426,1.46783,0.96458,1.08328,0.69861,0.51097,0.5407,0.32402,1.28503,2.56594,1.04296,0.000354697,0.000118232,0.000354697,0.000118232,0.000354697,0.000118232,0.000354697,0.000118232
2,767.452,1.42386,0.80685,1.0791,0.69346,0.51946,0.54793,0.33197,1.26828,1.6243,1.03313,0.000691566,0.000230522,0.000691566,0.000230522,0.000691566,0.000230522,0.000691566,0.000230522
3,1066.21,1.36119,0.71996,1.06078,0.69357,0.52359,0.55069,0.33599,1.25081,1.22099,1.0224,0.00100824,0.00033608,0.00100824,0.00033608,0.00100824,0.00033608,0.00100824,0.00033608
4,1353.25,1.35807,0.67379,1.04506,0.67738,0.53144,0.56145,0.34775,1.24378,1.02566,1.01603,0.000980118,0.000326706,0.000980118,0.000326706,0.000980118,0.000326706,0.000980118,0.000326706
5,1637.01,1.33793,0.64906,1.04471,0.62651,0.54412,0.56059,0.3466,1.24573,0.91402,1.01882,0.000949824,0.000316608,0.000949824,0.000316608,0.000949824,0.000316608,0.000949824,0.000316608
6,1911.03,1.3041,0.62804,1.03363,0.64481,0.54017,0.56612,0.35097,1.23821,0.93982,1.01566,0.00091953,0.00030651,0.00091953,0.00030651,0.00091953,0.00030651,0.00091953,0.00030651
7,2204.01,1.32973,0.6315,1.03323,0.64272,0.54354,0.56578,0.35105,1.24318,0.86846,1.01811,0.000889236,0.000296412,0.000889236,0.000296412,0.000889236,0.000296412,0.000889236,0.000296412
8,2483.75,1.28768,0.61107,1.02567,0.63834,0.53201,0.56287,0.34737,1.24136,0.88798,1.01866,0.000858942,0.000286314,0.000858942,0.000286314,0.000858942,0.000286314,0.000858942,0.000286314
9,2755.16,1.29142,0.61331,1.01292,0.64298,0.55466,0.55989,0.34703,1.24432,0.85222,1.01717,0.000828648,0.000276216,0.000828648,0.000276216,0.000828648,0.000276216,0.000828648,0.000276216
10,3030.31,1.29167,0.61295,1.01975,0.63813,0.55373,0.56568,0.34905,1.24117,0.85028,1.0193,0.000798354,0.000266118,0.000798354,0.000266118,0.000798354,0.000266118,0.000798354,0.000266118
11,3289.1,1.26316,0.60058,1.00944,0.63322,0.53351,0.56652,0.34895,1.24598,0.87101,1.02003,0.00076806,0.00025602,0.00076806,0.00025602,0.00076806,0.00025602,0.00076806,0.00025602
12,3575.14,1.26222,0.58834,1.01354,0.62389,0.53697,0.56321,0.34852,1.24401,0.85116,1.02112,0.000737766,0.000245922,0.000737766,0.000245922,0.000737766,0.000245922,0.000737766,0.000245922
13,3850.86,1.2672,0.58713,1.01589,0.61472,0.52718,0.56265,0.34759,1.24192,0.83432,1.02024,0.000707472,0.000235824,0.000707472,0.000235824,0.000707472,0.000235824,0.000707472,0.000235824
14,4138.85,1.2614,0.59488,1.01449,0.63207,0.53197,0.56707,0.35124,1.24826,0.83081,1.02383,0.000677178,0.000225726,0.000677178,0.000225726,0.000677178,0.000225726,0.000677178,0.000225726
15,4437.57,1.25416,0.58683,1.01951,0.62137,0.5256,0.56194,0.34782,1.25008,0.85193,1.02308,0.000646884,0.000215628,0.000646884,0.000215628,0.000646884,0.000215628,0.000646884,0.000215628
16,4711.29,1.23934,0.58326,1.00782,0.62758,0.51941,0.56243,0.34968,1.25019,0.84672,1.02392,0.00061659,0.00020553,0.00061659,0.00020553,0.00061659,0.00020553,0.00061659,0.00020553
17,4975.62,1.25767,0.574,1.00545,0.62446,0.51138,0.56114,0.34829,1.25173,0.82847,1.02337,0.000586296,0.000195432,0.000586296,0.000195432,0.000586296,0.000195432,0.000586296,0.000195432
18,5238.6,1.25933,0.56974,1.00864,0.63325,0.48331,0.55901,0.34578,1.25205,0.829,1.02646,0.000556002,0.000185334,0.000556002,0.000185334,0.000556002,0.000185334,0.000556002,0.000185334
19,5498.47,1.23534,0.56552,1.00698,0.62053,0.47977,0.56104,0.3487,1.251,0.83628,1.02554,0.000525708,0.000175236,0.000525708,0.000175236,0.000525708,0.000175236,0.000525708,0.000175236
20,5770.31,1.24473,0.57466,1.00743,0.62341,0.4804,0.561,0.34892,1.25413,0.83361,1.02917,0.000495414,0.000165138,0.000495414,0.000165138,0.000495414,0.000165138,0.000495414,0.000165138
21,6022.08,1.24797,0.56425,1.0043,0.63136,0.48395,0.55978,0.34709,1.25734,0.81619,1.0273,0.00046512,0.00015504,0.00046512,0.00015504,0.00046512,0.00015504,0.00046512,0.00015504
22,6288.15,1.22309,0.55917,1.00236,0.62951,0.45709,0.56051,0.3472,1.25743,0.81928,1.02773,0.000434826,0.000144942,0.000434826,0.000144942,0.000434826,0.000144942,0.000434826,0.000144942
23,6538.25,1.245,0.56527,1.00675,0.63104,0.4741,0.56225,0.35064,1.25805,0.81997,1.02826,0.000404532,0.000134844,0.000404532,0.000134844,0.000404532,0.000134844,0.000404532,0.000134844
24,6797.39,1.23396,0.56351,1.00435,0.63617,0.47002,0.56312,0.35118,1.25677,0.81,1.02768,0.000374238,0.000124746,0.000374238,0.000124746,0.000374238,0.000124746,0.000374238,0.000124746
25,7050.52,1.21727,0.54888,0.99565,0.64512,0.46349,0.56164,0.3509,1.25556,0.79871,1.02688,0.000343944,0.000114648,0.000343944,0.000114648,0.000343944,0.000114648,0.000343944,0.000114648
26,7351.32,1.10145,0.51314,0.94514,0.61571,0.46363,0.53982,0.331,1.29431,1.09071,1.04577,0.00031365,0.00010455,0.00031365,0.00010455,0.00031365,0.00010455,0.00031365,0.00010455
27,7616.99,1.10737,0.49671,0.95161,0.6251,0.44468,0.54412,0.33522,1.29041,0.94024,1.04476,0.000283356,9.4452e-05,0.000283356,9.4452e-05,0.000283356,9.4452e-05,0.000283356,9.4452e-05
28,7875.27,1.10659,0.48075,0.95444,0.62601,0.44968,0.54444,0.33664,1.28335,0.86743,1.0387,0.000253062,8.4354e-05,0.000253062,8.4354e-05,0.000253062,8.4354e-05,0.000253062,8.4354e-05
