epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,112.733,2.07131,4.06345,2.01405,0.00929,0.15684,0.05559,0.0227,1.95672,4.24094,2.09594,0.000703652,0.000234551,0.000703652,0.000234551,0.000703652,0.000234551,0.000703652,0.000234551
2,222.401,1.8537,3.83655,1.83754,0.02002,0.32871,0.15266,0.07185,1.86803,3.67911,1.95294,0.00140362,0.000467872,0.00140362,0.000467872,0.00140362,0.000467872,0.00140362,0.000467872
3,343.17,1.872,3.15746,1.80253,0.57859,0.19296,0.2052,0.09933,1.95611,2.65288,1.9606,0.00208945,0.000696482,0.00208945,0.000696482,0.00208945,0.000696482,0.00208945,0.000696482
4,467.609,1.89324,2.49589,1.79124,0.72262,0.21743,0.25166,0.12048,1.94408,2.16812,1.90357,0.00207838,0.000692794,0.00207838,0.000692794,0.00207838,0.000692794,0.00207838,0.000692794
5,606.589,1.83549,2.077,1.72852,0.52588,0.19381,0.18966,0.08876,1.90955,1.93669,1.85757,0.00205718,0.000685726,0.00205718,0.000685726,0.00205718,0.000685726,0.00205718,0.000685726
6,748.664,1.79369,1.87597,1.69181,0.70402,0.24152,0.2582,0.12125,1.88953,1.79092,1.84015,0.00203597,0.000678657,0.00203597,0.000678657,0.00203597,0.000678657,0.00203597,0.000678657
7,891.664,1.78314,1.75892,1.66622,0.6531,0.23299,0.23582,0.10969,1.91066,1.73669,1.84249,0.00201477,0.000671588,0.00201477,0.000671588,0.00201477,0.000671588,0.00201477,0.000671588
8,1037.56,1.72911,1.63977,1.63727,0.45188,0.23194,0.23067,0.11322,1.84749,1.64581,1.79952,0.00199356,0.00066452,0.00199356,0.00066452,0.00199356,0.00066452,0.00199356,0.00066452
9,1188.71,1.72376,1.59673,1.62989,0.42686,0.22685,0.224,0.10807,1.84228,1.58093,1.80109,0.00197235,0.000657451,0.00197235,0.000657451,0.00197235,0.000657451,0.00197235,0.000657451
10,1336.86,1.70663,1.53473,1.61006,0.37653,0.24526,0.22951,0.10735,1.82984,1.56936,1.79089,0.00195115,0.000650383,0.00195115,0.000650383,0.00195115,0.000650383,0.00195115,0.000650383
11,1489.07,1.65419,1.47991,1.56465,0.47289,0.24211,0.23154,0.10831,1.81873,1.52976,1.7792,0.00192994,0.000643314,0.00192994,0.000643314,0.00192994,0.000643314,0.00192994,0.000643314
12,1641.34,1.67294,1.46375,1.57947,0.41071,0.21177,0.21292,0.10286,1.80799,1.47962,1.77333,0.00190874,0.000636245,0.00190874,0.000636245,0.00190874,0.000636245,0.00190874,0.000636245
13,1816.3,1.64668,1.43571,1.56686,0.53269,0.17356,0.17606,0.08624,1.79305,1.45824,1.75559,0.00188753,0.000629177,0.00188753,0.000629177,0.00188753,0.000629177,0.00188753,0.000629177
14,1995.58,1.64992,1.41327,1.56592,0.39335,0.19636,0.19519,0.09534,1.79271,1.4523,1.75688,0.00186632,0.000622108,0.00186632,0.000622108,0.00186632,0.000622108,0.00186632,0.000622108
15,2174.79,1.64304,1.41466,1.54566,0.40768,0.17421,0.17564,0.08965,1.79518,1.44477,1.75478,0.00184512,0.00061504,0.00184512,0.00061504,0.00184512,0.00061504,0.00184512,0.00061504
16,2363.82,1.61348,1.38052,1.54484,0.59878,0.1598,0.16548,0.08855,1.79564,1.43965,1.75186,0.00182391,0.000607971,0.00182391,0.000607971,0.00182391,0.000607971,0.00182391,0.000607971
17,2549.8,1.62369,1.35918,1.5455,0.47871,0.17713,0.17707,0.0895,1.79023,1.41938,1.75777,0.00180271,0.000600902,0.00180271,0.000600902,0.00180271,0.000600902,0.00180271,0.000600902
18,2727.66,1.62112,1.3501,1.5452,0.48127,0.17549,0.1736,0.08471,1.78466,1.41773,1.74579,0.0017815,0.000593834,0.0017815,0.000593834,0.0017815,0.000593834,0.0017815,0.000593834
19,2917.75,1.59632,1.34769,1.53451,0.43253,0.17857,0.17709,0.08881,1.75675,1.38658,1.7356,0.0017603,0.000586765,0.0017603,0.000586765,0.0017603,0.000586765,0.0017603,0.000586765
20,3100.58,1.60914,1.33805,1.53916,0.49932,0.16217,0.17145,0.09304,1.76658,1.38087,1.74345,0.00173909,0.000579697,0.00173909,0.000579697,0.00173909,0.000579697,0.00173909,0.000579697
21,3294.71,1.59662,1.31634,1.5171,0.66261,0.15345,0.16327,0.08592,1.74999,1.37216,1.72747,0.00171788,0.000572628,0.00171788,0.000572628,0.00171788,0.000572628,0.00171788,0.000572628
22,3495.79,1.56796,1.29189,1.49923,0.4813,0.15875,0.16837,0.08865,1.7527,1.3561,1.72977,0.00169668,0.000565559,0.00169668,0.000565559,0.00169668,0.000565559,0.00169668,0.000565559
23,3699.64,1.59076,1.31105,1.52533,0.50477,0.17631,0.17714,0.09448,1.76163,1.34914,1.73628,0.00167547,0.000558491,0.00167547,0.000558491,0.00167547,0.000558491,0.00167547,0.000558491
24,3900.81,1.56999,1.27733,1.51663,0.54164,0.16013,0.16291,0.08615,1.74682,1.34681,1.73595,0.00165427,0.000551422,0.00165427,0.000551422,0.00165427,0.000551422,0.00165427,0.000551422
25,4084.93,1.55967,1.25905,1.49034,0.49501,0.16953,0.17738,0.09341,1.75709,1.33254,1.73419,0.00163306,0.000544354,0.00163306,0.000544354,0.00163306,0.000544354,0.00163306,0.000544354
26,4274.75,1.53738,1.24985,1.49228,0.49655,0.17344,0.17459,0.094,1.74774,1.33509,1.73658,0.00161185,0.000537285,0.00161185,0.000537285,0.00161185,0.000537285,0.00161185,0.000537285
