epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,43.9132,1.20178,1.47713,1.24331,0.71024,0.58212,0.67692,0.50809,1.06656,1.0126,1.10073,5.355e-05,1.785e-05,5.355e-05,1.785e-05,5.355e-05,1.785e-05,5.355e-05,1.785e-05
2,82.9052,1.24847,1.56758,1.29344,0.71163,0.58409,0.67835,0.50868,1.06923,1.0101,1.10207,0.000107018,3.56726e-05,0.000107018,3.56726e-05,0.000107018,3.56726e-05,0.000107018,3.56726e-05
3,131.506,1.25252,1.45691,1.27037,0.72789,0.58187,0.67798,0.50679,1.06726,1.00525,1.10019,0.000156716,5.22386e-05,0.000156716,5.22386e-05,0.000156716,5.22386e-05,0.000156716,5.22386e-05
4,176.202,1.20159,1.34271,1.28852,0.70368,0.58833,0.67443,0.50509,1.06978,1.00421,1.10227,0.000202644,6.7548e-05,0.000202644,6.7548e-05,0.000202644,6.7548e-05,0.000202644,6.7548e-05
5,214.095,1.22074,1.37302,1.26282,0.71917,0.58545,0.67806,0.50354,1.06536,0.99395,1.10053,0.000244802,8.16007e-05,0.000244802,8.16007e-05,0.000244802,8.16007e-05,0.000244802,8.16007e-05
6,261.019,1.20046,1.45173,1.25035,0.73307,0.58029,0.66872,0.49918,1.06581,0.99045,1.10044,0.00028319,9.43968e-05,0.00028319,9.43968e-05,0.00028319,9.43968e-05,0.00028319,9.43968e-05
7,311.043,1.20382,1.39697,1.23189,0.77431,0.54866,0.64707,0.48223,1.05883,0.9805,1.09573,0.000286314,9.5438e-05,0.000286314,9.5438e-05,0.000286314,9.5438e-05,0.000286314,9.5438e-05
8,364.065,1.14449,1.37069,1.23958,0.75193,0.56502,0.66028,0.49009,1.05786,0.97362,1.09635,0.000274533,9.1511e-05,0.000274533,9.1511e-05,0.000274533,9.1511e-05,0.000274533,9.1511e-05
9,416.731,1.25009,1.35527,1.26886,0.75554,0.5651,0.65407,0.48513,1.05372,0.96521,1.09606,0.000262752,8.7584e-05,0.000262752,8.7584e-05,0.000262752,8.7584e-05,0.000262752,8.7584e-05
10,465.908,1.20021,1.28725,1.21475,0.7514,0.60259,0.68494,0.51391,1.04948,0.96054,1.09452,0.000250971,8.3657e-05,0.000250971,8.3657e-05,0.000250971,8.3657e-05,0.000250971,8.3657e-05
11,516.144,1.16523,1.36689,1.2598,0.7787,0.5928,0.69883,0.52655,1.04588,0.95536,1.09107,0.00023919,7.973e-05,0.00023919,7.973e-05,0.00023919,7.973e-05,0.00023919,7.973e-05
12,566.025,1.20587,1.37589,1.25163,0.77849,0.58181,0.67371,0.50125,1.04479,0.952,1.09135,0.000227409,7.5803e-05,0.000227409,7.5803e-05,0.000227409,7.5803e-05,0.000227409,7.5803e-05
13,612.035,1.15975,1.27092,1.23546,0.77378,0.58925,0.67937,0.5075,1.04007,0.94645,1.08761,0.000215628,7.1876e-05,0.000215628,7.1876e-05,0.000215628,7.1876e-05,0.000215628,7.1876e-05
14,660.726,1.22634,1.34137,1.25025,0.77924,0.57451,0.6769,0.50747,1.03785,0.93815,1.08624,0.000203847,6.7949e-05,0.000203847,6.7949e-05,0.000203847,6.7949e-05,0.000203847,6.7949e-05
15,711.264,1.13978,1.22135,1.23209,0.74474,0.60298,0.68068,0.51035,1.03486,0.93062,1.08593,0.000192066,6.4022e-05,0.000192066,6.4022e-05,0.000192066,6.4022e-05,0.000192066,6.4022e-05
16,756.825,1.169,1.33631,1.23451,0.7447,0.63754,0.71271,0.53636,1.03266,0.92465,1.0845,0.000180285,6.0095e-05,0.000180285,6.0095e-05,0.000180285,6.0095e-05,0.000180285,6.0095e-05
